client_id	path	sentence	up_votes	down_votes	age	gender	accent
1089-134686-0000	clips/1089-134686-0000.flac	HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT IN THICK PEPPERED FLOUR FATTENED SAUCE	0	0			
1089-134686-0001	clips/1089-134686-0001.flac	STUFF IT INTO YOU HIS BELLY COUNSELLED HIM	0	0			
1089-134686-0002	clips/1089-134686-0002.flac	AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROTHELS	0	0			
1089-134686-0003	clips/1089-134686-0003.flac	HELLO BERTIE ANY GOOD IN YOUR MIND	0	0			
1089-134686-0004	clips/1089-134686-0004.flac	NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND	0	0			
1089-134686-0005	clips/1089-134686-0005.flac	THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS	0	0			
1089-134686-0006	clips/1089-134686-0006.flac	THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER EQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL	0	0			
1089-134686-0007	clips/1089-134686-0007.flac	A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL	0	0			
1089-134686-0008	clips/1089-134686-0008.flac	THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF	0	0			
1089-134686-0009	clips/1089-134686-0009.flac	AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE	0	0			
1089-134686-0010	clips/1089-134686-0010.flac	WELL NOW ENNIS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK	0	0			
1089-134686-0011	clips/1089-134686-0011.flac	ON SATURDAY MORNINGS WHEN THE SODALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES	0	0			
1089-134686-0012	clips/1089-134686-0012.flac	HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER	0	0			
1089-134686-0013	clips/1089-134686-0013.flac	IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER KNIGHT	0	0			
1089-134686-0014	clips/1089-134686-0014.flac	HE TRIED TO THINK HOW IT COULD BE	0	0			
1089-134686-0015	clips/1089-134686-0015.flac	BUT THE DUSK DEEPENING IN THE SCHOOLROOM COVERED OVER HIS THOUGHTS THE BELL RANG	0	0			
1089-134686-0016	clips/1089-134686-0016.flac	THEN YOU CAN ASK HIM QUESTIONS ON THE CATECHISM DEDALUS	0	0			
