client_id	path	sentence	up_votes	down_votes	age	gender	accent
1089-134691-0012	clips/1089-134691-0012.flac	IT WAS IDLE FOR HIM TO MOVE HIMSELF TO BE GENEROUS TOWARDS THEM TO TELL HIMSELF THAT IF HE EVER CAME TO THEIR GATES STRIPPED OF HIS PRIDE BEATEN AND IN BEGGAR'S WEEDS THAT THEY WOULD BE GENEROUS TOWARDS HIM LOVING HIM AS THEMSELVES	0	0			
1089-134691-0013	clips/1089-134691-0013.flac	IDLE AND EMBITTERING FINALLY TO ARGUE AGAINST HIS OWN DISPASSIONATE CERTITUDE THAT THE COMMANDMENT OF LOVE BADE US NOT TO LOVE OUR NEIGHBOUR AS OURSELVES WITH THE SAME AMOUNT AND INTENSITY OF LOVE BUT TO LOVE HIM AS OURSELVES WITH THE SAME KIND OF LOVE	0	0			
1089-134691-0014	clips/1089-134691-0014.flac	THE PHRASE AND THE DAY AND THE SCENE HARMONIZED IN A CHORD	0	0			
1089-134691-0015	clips/1089-134691-0015.flac	WORDS WAS IT THEIR COLOURS	0	0			
1089-134691-0016	clips/1089-134691-0016.flac	THEY WERE VOYAGING ACROSS THE DESERTS OF THE SKY A HOST OF NOMADS ON THE MARCH VOYAGING HIGH OVER IRELAND WESTWARD BOUND	0	0			
1089-134691-0017	clips/1089-134691-0017.flac	THE EUROPE THEY HAD COME FROM LAY OUT THERE BEYOND THE IRISH SEA EUROPE OF STRANGE TONGUES AND VALLEYED AND WOODBEGIRT AND CITADELLED AND OF ENTRENCHED AND MARSHALLED RACES	0	0			
1089-134691-0018	clips/1089-134691-0018.flac	AGAIN AGAIN	0	0			
1089-134691-0019	clips/1089-134691-0019.flac	A VOICE FROM BEYOND THE WORLD WAS CALLING	0	0			
1089-134691-0020	clips/1089-134691-0020.flac	HELLO STEPHANOS HERE COMES THE DEDALUS	0	0			
1089-134691-0021	clips/1089-134691-0021.flac	THEIR DIVING STONE POISED ON ITS RUDE SUPPORTS AND ROCKING UNDER THEIR PLUNGES AND THE ROUGH HEWN STONES OF THE SLOPING BREAKWATER OVER WHICH THEY SCRAMBLED IN THEIR HORSEPLAY GLEAMED WITH COLD WET LUSTRE	0	0			
1089-134691-0022	clips/1089-134691-0022.flac	HE STOOD STILL IN DEFERENCE TO THEIR CALLS AND PARRIED THEIR BANTER WITH EASY WORDS	0	0			
1089-134691-0023	clips/1089-134691-0023.flac	IT WAS A PAIN TO SEE THEM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELLENT THEIR PITIABLE NAKEDNESS	0	0			
1089-134691-0024	clips/1089-134691-0024.flac	STEPHANOS DEDALOS	0	0			
1089-134691-0025	clips/1089-134691-0025.flac	A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DANES HAD LOOKED FORTH THROUGH THE VESTURE OF THE HAZEWRAPPED CITY	0	0			
1188-133604-0000	clips/1188-133604-0000.flac	YOU WILL FIND ME CONTINUALLY SPEAKING OF FOUR MEN TITIAN HOLBEIN TURNER AND TINTORET IN ALMOST THE SAME TERMS	0	0			
1188-133604-0001	clips/1188-133604-0001.flac	THEY UNITE EVERY QUALITY AND SOMETIMES YOU WILL FIND ME REFERRING TO THEM AS COLORISTS SOMETIMES AS CHIAROSCURISTS	0	0			
1188-133604-0002	clips/1188-133604-0002.flac	BY BEING STUDIOUS OF COLOR THEY ARE STUDIOUS OF DIVISION AND WHILE THE CHIAROSCURIST DEVOTES HIMSELF TO THE REPRESENTATION OF DEGREES OF FORCE IN ONE THING UNSEPARATED LIGHT THE COLORISTS HAVE FOR THEIR FUNCTION THE ATTAINMENT OF BEAUTY BY ARRANGEMENT OF THE DIVISIONS OF LIGHT	0	0			
1188-133604-0003	clips/1188-133604-0003.flac	MY FIRST AND PRINCIPAL REASON WAS THAT THEY ENFORCED BEYOND ALL RESISTANCE ON ANY STUDENT WHO MIGHT ATTEMPT TO COPY THEM THIS METHOD OF LAYING PORTIONS OF DISTINCT HUE SIDE BY SIDE	0	0			
1188-133604-0004	clips/1188-133604-0004.flac	SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PIGMENT MIGHT CRYSTALLIZE HARD AT THE EDGE	0	0			
